city,state,latitude,longitude,
Hadgotfu,NE,,7.15385,
Latumadic,VA,-39.85577,42.566,
Zelurenop,CT,-41.10846,2.20596,
Keuhne,NY,-35.07306,42.03851,
Zanripu,ME,-64.5918,108.26374,
Seranvu,AS,73.48096,83.92223,
Pirfewvi,VT,16.49248,121.90867,
Borkiwe,SD,28.0436,112.31427,
Cofgaojo,FL,39.54083,19.15188,
Ohdushuv,NE,6.30647,5.5078,
Biuhoku,SD,14.66487,139.96446,
Irilike,LA,44.69141,100.86033,
Amasabi,PA,-41.28508,131.3303,
Sofweuko,OK,23.72977,108.76018,
Kazulzok,AL,39.91608,71.07575,
Widdivfor,MH,-61.64998,74.24555,
Neflirbab,LA,-83.53254,117.08826,
Lipsuwzav,ME,-10.78333,121.62701,
Fifjasuj,NJ,52.59594,89.53943,
Demnorozi,AS,6.73165,99.20242,
Viobguf,OK,74.8973,139.12057,
Acuggog,AK,-37.20078,130.85284,
Jimitsov,MS,48.39947,45.70526,
Rawkini,OK,-11.70274,32.59141,
Opecuil,NM,-29.22077,154.32325,
Nowaczom,GA,17.81016,1.80269,
Etiwhi,DE,-31.38904,170.42115,
Pusewe,UT,26.01768,75.44414,
Nobufli,MS,-61.73625,154.38188,
Waemuzu,AP,-23.05629,169.15496,
Habajful,HI,1.77599,82.81446,
Mevavuh,AR,-24.43072,83.64088,
Jokufoc,SD,-81.19408,123.24085,
Adajoipi,TX,50.33148,13.69594,
Uzuvasca,TN,23.53601,42.20504,
Ajsopha,AA,-42.49466,95.64195,
Huclemono,MO,38.17749,41.42746,
Ziadce,UT,8.87789,22.69944,
Hikimbed,VA,24.81838,165.25636,
Muarej,CO,68.25298,94.98411,
Nuupitim,CT,-34.19102,132.68645,
Hufhuhej,AE,-36.3955,165.90308,
Hiodmu,WI,-7.11147,97.77339,
Ewetuva,NC,60.68172,175.34325,
Bipicnan,DC,-74.62815,97.05577,
Owtasbe,NM,-41.54388,10.0593,
Sipabza,NY,60.74607,155.83572,
Fidijuz,NH,-67.29055,138.65836,
Caoggo,MD,4.48694,61.5978,
Bemgade,AR,-82.25709,49.55901,
Laenicog,CO,-63.48058,3.03094,
Mazugfi,WI,13.94154,161.70924,
Ovupozgo,ND,40.03101,41.29162,
Letvoru,VT,-36.78088,58.4871,
Ikotobus,AL,-28.48481,58.96692,
Picahpo,MT,-68.54375,60.97907,
Jorbiut,HI,18.48506,64.22771,
Ugfekzi,AP,68.14035,71.29419,
Nimugko,UT,-73.41667,93.91392,
Ahwiteh,IA,32.30811,113.89962,
Ofwogpil,UT,-18.53104,162.47667,
Itamotas,UT,-13.49462,178.65789,
Uwaajogu,NH,2.16396,70.62924,
Juckapdul,MO,-1.12898,50.22537,
Afmerot,WY,-4.29664,42.94314,
Sutoci,WA,-81.89906,19.07027,
Robitil,MS,18.41132,89.05172,
Coguja,VA,53.42034,101.174,
Ebwihpu,GU,-41.09913,33.44682,
Siwpokcuf,OR,-62.0562,126.10445,
Hidadic,NY,-14.33703,4.66867,
Widratjac,WI,30.64672,11.99402,
Kafanili,AK,-14.45026,76.91558,
Duvakeawi,IL,-67.08334,170.89805,
Baddulu,AK,2.17428,60.12775,
Ebalinoza,AR,-65.85757,154.95471,
Porruom,MH,-28.56444,123.8543,
Atefafu,NE,-2.31654,12.24453,
Jetcemta,AK,-60.10186,50.45592,
Warfetus,AK,-6.46461,171.41473,
Alasewre,DC,37.10599,171.75999,
Osbohbiz,HI,-22.4246,179.575,
Duvlisum,LA,38.87051,46.94548,
Toowwu,SC,14.93514,64.87959,
Nevezoj,NY,28.19658,33.60055,
Mikocgu,TX,-67.62998,98.87707,
Icuuclib,HI,-53.90001,63.15726,
Basdulfi,IN,26.1353,8.20673,
Weucbo,RI,89.54551,95.28889,
Wunveta,MA,2.9437,157.10392,
Nehawadap,UT,32.41076,145.37567,
Binveja,PR,-73.18136,117.19763,
Hulurec,MN,31.74225,45.15343,
Etosuzeb,CA,40.47386,63.26127,
Comukob,VT,-38.42583,0.5934,
Urtemdo,MS,10.50686,25.45671,
Wuvpaju,NH,-80.57975,104.53266,
Puusnak,WY,89.81418,98.50265,
Kodavukal,AL,50.33631,66.64903,
Kielmeg,MT,-59.25661,6.69589,
Estufot,AP,-61.48235,170.06317,
Avolotki,MP,50.70824,94.48498,
Pipmogjun,AZ,81.766,76.31501,
Sibvozcan,CA,2.59663,175.72961,
Sahobgo,GA,-0.16111,90.95275,
Wokitgac,MP,-82.90006,129.77845,
Dudjias,WV,-46.25654,19.42556,
Pewive,ND,70.96206,66.60122,
Litlahjen,DC,-49.04522,118.20457,
Hinnucim,MD,-30.383,159.83739,
Ofeahoaci,NH,85.92259,173.93404,
Wusopzo,WY,11.73638,75.33218,
Ololunhiv,NY,53.28566,56.09231,
Utpiot,PR,-72.82026,116.01977,
Jusidal,VA,-75.64543,115.66469,
Jutoraz,CT,-53.95827,178.27545,
Percehsaj,WI,-29.45499,5.51845,
Wipmebiv,KS,75.52438,156.69305,
Nemeca,TN,-87.71107,56.99109,
Vanhozpab,GU,5.40697,176.57694,
Kocumca,AA,69.65575,156.3264,
Ejnupa,AE,8.65002,48.26071,
Nibubaed,MH,-40.76399,77.08551,
Vaszewem,NM,-73.20002,131.88911,
Dupipaeje,MN,52.96353,21.9795,
Tuvajwe,SC,-56.82045,52.17294,
Fapafe,RI,-10.53706,58.83695,
Zeufbit,CA,38.7749,96.03133,
Okhamhib,PA,-81.08071,43.91241,
Utunifi,VT,-27.03756,4.50111,
Wibferpop,AP,26.43938,30.05248,
Maroguc,NM,25.37141,30.96945,
Epjewa,OK,-5.51643,139.00585,
Henjofav,TN,55.48222,14.28338,
