city,state,latitude,longitude,
Hadgotfu,NE,-39.85577,7.15385,
Latumadic,VA,-39.85577,42.566,
Zelurenop,CT,-41.10846,2.20596,
Keuhne,NY,-35.07306,42.03851,
Zanripu,ME,-64.5918,108.26374,
Seranvu,AS,73.48096,83.92223,
Pirfewvi,VT,16.49248,121.90867,
Borkiwe,SD,28.0436,-39.85577,
Cofgaojo,FL,39.54083,19.15188,
Ohdushuv,NE,6.30647,5.5078,
Biuhoku,SD,14.66487,139.96446,
Irilike,LA,44.69141,100.86033,
Philly,PA,-41.28508,131.3303,
Ahzadtuj,CA,-60.44638,20.98859,
Tumetis,OR,-44.53101,99.07582,
Niwabuh,NH,-22.04407,172.82916,
Tuafah,CA,22.27623,152.53932,
Helfatbet,TN,-35.75759,138.58472,
Cuvnencaf,KS,75.11868,43.44664,
